12-18 00:00:13 com_github_bouni_kicad-jlcpcb-tools.store 210:Part R46 does not exist in the database and will be created from the board.
12-18 00:04:11 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R35 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:11 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R34 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:11 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R33 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:11 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R32 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:11 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R31 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:11 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R30 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:11 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R29 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:11 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R28 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:11 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R27 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:11 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R26 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:11 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R25 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:11 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R24 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:11 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R23 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:11 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R22 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:12 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R21 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:12 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R20 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:12 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R19 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:12 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R18 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:12 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R17 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:12 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R16 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:12 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R15 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:12 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R14 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:12 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R13 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:12 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R12 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:12 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R11 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:12 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R10 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:12 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R9 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:12 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R8 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:12 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R7 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:12 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R6 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:12 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R5 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:12 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R4 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:12 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R3 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:12 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R2 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:12 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R1 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:13 com_github_bouni_kicad-jlcpcb-tools.store 246:Part Q22 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:13 com_github_bouni_kicad-jlcpcb-tools.store 246:Part Q21 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
